Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
50,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,368,Male,3,Healthcare Representative,Single,10496,6,Y,15,80,0,20,2,4,1,3
40,Yes,Travel_Rarely,Sales,22,2,Marketing,1,369,Male,2,Sales Executive,Married,6380,2,Y,12,80,2,8,6,6,1,0
31,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,370,Male,1,Research Scientist,Single,2657,0,Y,16,80,0,3,5,2,2,2
21,Yes,Travel_Rarely,Sales,12,3,Life Sciences,1,371,Female,1,Sales Representative,Single,2716,1,Y,15,80,0,1,0,1,0,0
29,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,372,Male,1,Research Scientist,Single,2201,9,Y,16,80,0,6,4,3,1,2
35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,373,Male,2,Healthcare Representative,Single,6540,9,Y,19,80,0,10,5,1,0,0
27,No,Travel_Rarely,Research & Development,1,2,Medical,1,374,Male,1,Laboratory Technician,Divorced,3816,1,Y,11,80,1,5,2,5,0,4
28,No,Travel_Rarely,Sales,9,4,Life Sciences,1,375,Male,2,Sales Executive,Single,5253,1,Y,16,80,0,7,1,7,0,7
49,No,Travel_Rarely,Research & Development,7,3,Other,1,376,Male,3,Healthcare Representative,Single,10965,8,Y,24,80,0,26,2,5,0,0
51,No,Travel_Rarely,Sales,14,2,Life Sciences,1,377,Female,2,Sales Executive,Married,4936,4,Y,11,80,1,18,2,7,0,7
36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,378,Female,1,Research Scientist,Married,2543,4,Y,13,80,1,6,3,2,2,2
34,Yes,Non-Travel,Sales,19,3,Marketing,1,379,Male,2,Sales Executive,Single,5304,8,Y,13,80,0,9,3,5,0,4
55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,380,Female,4,Manager,Single,16659,2,Y,13,80,0,30,2,5,1,2
24,No,Travel_Rarely,Sales,10,4,Marketing,1,381,Female,2,Sales Executive,Divorced,4260,1,Y,12,80,1,5,2,5,0,3
30,No,Travel_Rarely,Sales,2,1,Technical Degree,1,382,Male,1,Sales Representative,Married,2476,1,Y,18,80,1,1,3,1,0,0
26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,1,383,Male,1,Research Scientist,Single,3102,0,Y,22,80,0,7,2,6,0,4
22,No,Travel_Rarely,Research & Development,11,3,Medical,1,384,Female,1,Research Scientist,Married,2244,1,Y,13,80,1,2,1,2,1,2
36,No,Travel_Rarely,Sales,2,2,Medical,1,385,Male,3,Sales Executive,Married,7596,1,Y,13,80,2,10,2,10,9,0
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,1,386,Male,1,Research Scientist,Single,2285,9,Y,23,80,0,3,4,1,0,0
37,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,387,Female,1,Laboratory Technician,Divorced,3034,1,Y,12,80,1,18,2,18,12,17
40,No,Travel_Rarely,Sales,2,2,Marketing,1,388,Female,2,Sales Executive,Divorced,5715,7,Y,12,80,2,8,5,5,1,3
42,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,389,Female,1,Laboratory Technician,Divorced,2576,3,Y,16,80,1,8,5,5,1,2
37,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,390,Male,2,Manufacturing Director,Single,4197,2,Y,12,80,0,18,2,1,0,1
43,No,Travel_Rarely,Research & Development,12,3,Life Sciences,1,391,Male,4,Research Director,Divorced,14336,1,Y,11,80,1,25,3,25,3,9
40,No,Travel_Rarely,Research & Development,2,3,Medical,1,392,Female,2,Laboratory Technician,Married,3448,6,Y,22,80,1,20,3,1,0,0
54,No,Travel_Rarely,Research & Development,5,2,Medical,1,393,Male,5,Research Director,Married,19406,4,Y,11,80,1,24,4,4,1,2
34,No,Non-Travel,Sales,4,4,Marketing,1,394,Female,2,Sales Executive,Married,6538,9,Y,15,80,1,6,3,3,1,2
31,No,Travel_Rarely,Research & Development,7,2,Medical,1,395,Female,2,Manufacturing Director,Married,4306,1,Y,12,80,1,13,5,13,3,12
43,No,Travel_Frequently,Research & Development,21,3,Medical,1,396,Male,1,Laboratory Technician,Married,2258,7,Y,20,80,1,8,1,3,1,2
43,No,Travel_Rarely,Research & Development,8,4,Other,1,397,Female,2,Healthcare Representative,Divorced,4522,4,Y,14,80,0,8,3,5,0,2
25,No,Travel_Rarely,Sales,4,2,Life Sciences,1,398,Female,2,Sales Executive,Single,4487,1,Y,11,80,0,5,3,5,1,3
37,No,Non-Travel,Research & Development,25,5,Medical,1,399,Female,2,Research Scientist,Married,4449,3,Y,15,80,2,15,2,13,10,7
31,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,400,Male,1,Laboratory Technician,Married,2218,1,Y,12,80,1,4,3,4,3,2
39,No,Travel_Frequently,Research & Development,1,1,Life Sciences,1,401,Male,5,Manager,Divorced,19197,1,Y,14,80,1,21,3,21,1,6
56,No,Travel_Frequently,Sales,6,3,Life Sciences,1,402,Female,4,Sales Executive,Married,13212,9,Y,11,80,3,36,0,7,7,7
30,No,Travel_Rarely,Sales,12,3,Technical Degree,1,403,Female,2,Sales Executive,Single,6577,0,Y,11,80,0,6,6,5,4,4
41,No,Travel_Rarely,Sales,1,3,Marketing,1,404,Male,3,Sales Executive,Married,8392,1,Y,16,80,1,10,2,10,0,7
28,No,Travel_Rarely,Research & Development,17,2,Medical,1,405,Male,2,Laboratory Technician,Divorced,4558,1,Y,12,80,1,10,2,10,1,8
25,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,406,Male,1,Laboratory Technician,Married,4031,5,Y,13,80,1,6,5,2,0,2
52,No,Travel_Rarely,Research & Development,3,3,Medical,1,407,Male,3,Manufacturing Director,Married,7969,2,Y,14,80,0,28,4,5,0,4
45,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,408,Male,1,Research Scientist,Married,2654,3,Y,21,80,2,8,3,2,0,2
52,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,409,Female,4,Manager,Married,16555,2,Y,13,80,0,31,2,5,1,4
42,No,Travel_Frequently,Research & Development,29,2,Life Sciences,1,410,Female,2,Research Scientist,Divorced,4556,2,Y,11,80,1,19,3,5,0,2
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,411,Female,2,Manufacturing Director,Single,6091,2,Y,20,80,0,11,2,5,0,2
60,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,412,Female,5,Manager,Married,19566,5,Y,11,80,0,33,5,29,11,10
46,No,Travel_Rarely,Research & Development,18,3,Medical,1,413,Female,2,Manufacturing Director,Divorced,4810,2,Y,14,80,1,19,5,10,0,8
42,No,Travel_Frequently,Research & Development,28,4,Technical Degree,1,414,Female,2,Healthcare Representative,Married,4523,0,Y,11,80,3,7,4,6,0,4
24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,415,Female,1,Sales Representative,Single,3202,1,Y,16,80,0,6,4,5,1,4
34,Yes,Travel_Frequently,Sales,6,2,Marketing,1,416,Female,1,Sales Representative,Divorced,2351,0,Y,16,80,1,3,3,2,1,0
38,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,417,Male,1,Laboratory Technician,Married,1702,1,Y,23,80,1,1,3,1,0,0
40,No,Travel_Rarely,Sales,2,4,Life Sciences,1,418,Female,5,Manager,Married,18041,0,Y,14,80,0,21,2,20,1,12
26,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,419,Female,1,Research Scientist,Divorced,2886,1,Y,22,80,2,3,3,3,0,2
30,No,Non-Travel,Research & Development,3,3,Life Sciences,1,420,Male,1,Laboratory Technician,Married,2097,4,Y,15,80,1,9,3,5,1,4
29,No,Travel_Rarely,Research & Development,3,4,Medical,1,421,Male,3,Research Director,Married,11935,1,Y,18,80,0,10,2,10,0,7
29,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,1,422,Female,1,Research Scientist,Married,2546,5,Y,16,80,0,6,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,423,Male,1,Human Resources,Single,2564,1,Y,12,80,0,1,3,1,0,0
30,No,Non-Travel,Sales,22,4,Other,1,424,Female,3,Sales Executive,Married,8412,0,Y,11,80,0,10,3,9,7,8
57,No,Travel_Rarely,Sales,29,3,Marketing,1,425,Male,4,Manager,Divorced,14118,3,Y,12,80,1,32,3,1,0,0
50,No,Travel_Rarely,Research & Development,29,4,Life Sciences,1,426,Male,4,Manager,Married,17046,0,Y,15,80,1,28,2,27,15,7
30,No,Non-Travel,Research & Development,2,3,Medical,1,427,Female,1,Laboratory Technician,Single,2564,0,Y,14,80,0,12,2,11,6,7
60,No,Travel_Frequently,Sales,28,3,Marketing,1,428,Female,3,Sales Executive,Married,10266,4,Y,19,80,0,22,5,18,13,11
47,No,Travel_Rarely,Research & Development,2,2,Medical,1,429,Female,2,Manufacturing Director,Divorced,5070,5,Y,13,80,3,20,2,5,0,4
46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,430,Male,4,Research Director,Married,17861,6,Y,13,80,0,26,2,3,0,1
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,431,Male,1,Laboratory Technician,Single,4230,0,Y,15,80,0,6,2,5,4,3
54,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,432,Female,2,Laboratory Technician,Single,3780,7,Y,11,80,0,19,3,1,0,0
34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,433,Male,1,Research Scientist,Divorced,2768,3,Y,12,80,1,14,3,7,5,7
46,No,Travel_Rarely,Sales,10,3,Marketing,1,434,Female,3,Sales Executive,Married,9071,2,Y,19,80,1,15,3,3,1,2
31,No,Travel_Rarely,Research & Development,9,1,Life Sciences,1,435,Male,3,Manufacturing Director,Divorced,10648,1,Y,25,80,1,13,6,13,0,8
33,Yes,Travel_Rarely,Research & Development,15,1,Medical,1,436,Male,3,Manager,Married,13610,7,Y,12,80,0,15,2,7,7,7
33,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,437,Male,1,Laboratory Technician,Divorced,3408,7,Y,13,80,3,8,2,4,1,3
30,No,Travel_Rarely,Sales,7,1,Marketing,1,438,Male,1,Sales Representative,Single,2983,0,Y,14,80,0,4,3,3,1,2
35,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1,439,Male,3,Healthcare Representative,Married,7632,4,Y,12,80,0,10,2,8,0,0
31,Yes,Travel_Frequently,Research & Development,20,3,Life Sciences,1,440,Male,3,Healthcare Representative,Married,9824,3,Y,12,80,0,12,2,1,0,0
34,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,1,441,Female,3,Human Resources,Divorced,9950,9,Y,15,80,3,11,2,3,0,2
42,No,Travel_Frequently,Research & Development,5,2,Other,1,442,Male,1,Laboratory Technician,Married,2093,4,Y,17,80,1,8,4,2,2,0
36,No,Non-Travel,Sales,10,4,Medical,1,443,Male,3,Sales Executive,Single,9980,1,Y,14,80,0,10,3,10,9,7
22,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,1,444,Male,1,Laboratory Technician,Single,3894,5,Y,16,80,0,4,3,2,1,2
48,No,Travel_Rarely,Sales,2,5,Marketing,1,445,Female,2,Sales Executive,Married,4051,2,Y,14,80,1,14,2,9,6,7
55,No,Travel_Rarely,Sales,18,5,Life Sciences,1,446,Female,4,Manager,Single,16835,3,Y,23,80,0,37,2,10,7,7
41,No,Non-Travel,Sales,10,2,Life Sciences,1,447,Male,2,Sales Executive,Single,6230,7,Y,14,80,0,16,3,14,1,10
35,No,Travel_Rarely,Sales,1,3,Marketing,1,448,Male,2,Sales Executive,Married,4717,9,Y,11,80,0,15,2,11,6,9
40,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,449,Female,4,Manufacturing Director,Single,13237,7,Y,15,80,0,22,3,20,5,13
39,No,Travel_Frequently,Research & Development,8,1,Life Sciences,1,450,Female,1,Laboratory Technician,Married,3755,1,Y,11,80,1,8,3,8,0,7
31,No,Travel_Rarely,Sales,2,1,Life Sciences,1,451,Male,2,Sales Executive,Single,6582,4,Y,13,80,0,10,2,6,0,5
42,No,Travel_Rarely,Research & Development,24,3,Medical,1,452,Male,3,Manufacturing Director,Married,7406,1,Y,21,80,1,10,5,10,5,8
45,No,Travel_Rarely,Sales,2,3,Other,1,453,Male,2,Sales Executive,Married,4805,0,Y,19,80,1,9,3,8,3,7
26,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,1,454,Female,1,Human Resources,Divorced,2741,0,Y,11,80,1,8,2,7,1,0
29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,1,455,Male,2,Manufacturing Director,Divorced,4262,4,Y,12,80,2,8,2,3,1,2
33,No,Travel_Rarely,Research & Development,1,5,Medical,1,456,Female,4,Research Director,Divorced,16184,4,Y,19,80,1,10,2,6,0,5
31,No,Travel_Rarely,Sales,7,3,Life Sciences,1,457,Male,3,Manager,Divorced,11557,9,Y,21,80,1,10,3,5,0,1
18,Yes,Travel_Frequently,Sales,5,3,Marketing,1,458,Male,1,Sales Representative,Single,1878,1,Y,14,80,0,0,3,0,0,0
40,No,Non-Travel,Sales,28,3,Other,1,459,Male,3,Sales Executive,Divorced,10932,3,Y,15,80,1,20,2,1,0,1
41,No,Non-Travel,Research & Development,2,4,Other,1,460,Female,2,Healthcare Representative,Single,6811,2,Y,17,80,0,10,3,8,0,7
26,No,Travel_Rarely,Sales,29,2,Medical,1,461,Male,2,Sales Executive,Divorced,4306,5,Y,12,80,2,8,5,0,0,0
35,No,Travel_Rarely,Sales,1,3,Medical,1,462,Female,2,Sales Executive,Single,4859,1,Y,16,80,0,5,3,5,0,3
34,No,Travel_Rarely,Sales,21,4,Life Sciences,1,463,Male,2,Sales Executive,Single,5337,1,Y,12,80,0,10,3,10,5,7
26,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,1,464,Male,1,Laboratory Technician,Single,2340,1,Y,18,80,0,1,3,1,0,0
37,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,465,Female,3,Manufacturing Director,Single,7491,4,Y,17,80,0,12,3,6,1,2
46,No,Travel_Frequently,Research & Development,18,1,Medical,1,466,Female,3,Healthcare Representative,Married,10527,5,Y,11,80,0,28,3,2,1,2
41,No,Travel_Rarely,Sales,2,5,Life Sciences,1,467,Female,4,Manager,Married,16595,7,Y,16,80,1,22,2,18,11,8
37,No,Non-Travel,Sales,9,4,Medical,1,468,Male,3,Sales Executive,Divorced,8834,1,Y,13,80,1,9,6,9,7,7
52,No,Travel_Rarely,Research & Development,6,2,Technical Degree,1,469,Male,2,Research Scientist,Divorced,5577,3,Y,12,80,2,18,3,10,6,9
32,Yes,Non-Travel,Sales,11,4,Other,1,470,Male,2,Sales Executive,Married,4707,8,Y,12,80,0,6,2,4,1,2
24,No,Travel_Frequently,Sales,24,3,Medical,1,471,Male,1,Sales Representative,Married,2400,0,Y,13,80,2,3,3,2,2,1
38,No,Travel_Rarely,Research & Development,10,3,Medical,1,472,Female,2,Healthcare Representative,Married,9824,3,Y,19,80,1,18,4,1,0,0
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,473,Female,2,Manufacturing Director,Married,6447,6,Y,12,80,1,8,2,6,4,3
49,No,Travel_Rarely,Research & Development,18,4,Life Sciences,1,474,Male,5,Research Director,Divorced,19502,1,Y,17,80,1,31,5,31,0,9
24,No,Travel_Rarely,Research & Development,23,3,Medical,1,475,Male,1,Research Scientist,Married,2725,1,Y,11,80,2,6,3,6,1,4
26,No,Travel_Rarely,Sales,28,2,Marketing,1,476,Male,2,Sales Executive,Married,6272,1,Y,20,80,2,6,5,5,1,4
24,No,Travel_Rarely,Research & Development,17,2,Other,1,477,Male,1,Laboratory Technician,Married,2127,1,Y,21,80,1,1,2,1,0,0
50,No,Travel_Frequently,Human Resources,3,3,Medical,1,478,Male,5,Manager,Married,18200,1,Y,11,80,1,32,2,32,10,7
25,No,Travel_Rarely,Sales,13,1,Medical,1,479,Male,1,Sales Representative,Married,2096,1,Y,11,80,0,7,1,7,0,6
24,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,480,Female,1,Laboratory Technician,Married,2886,1,Y,16,80,1,6,4,6,1,2
30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,1,481,Male,1,Sales Representative,Married,2033,1,Y,18,80,1,1,2,1,0,0
34,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,482,Male,1,Research Scientist,Married,3622,1,Y,13,80,1,6,3,6,1,3
31,Yes,Travel_Rarely,Sales,13,4,Medical,1,483,Male,2,Sales Executive,Divorced,4233,2,Y,17,80,0,9,2,3,1,2
35,No,Travel_Rarely,Research & Development,25,2,Other,1,484,Male,2,Laboratory Technician,Single,3681,4,Y,14,80,0,9,3,3,0,2
31,No,Travel_Rarely,Sales,6,4,Medical,1,485,Male,2,Sales Executive,Divorced,5460,4,Y,22,80,2,13,4,7,5,7
27,No,Travel_Rarely,Research & Development,6,4,Medical,1,486,Female,1,Research Scientist,Divorced,2187,0,Y,12,80,2,6,5,5,0,3
37,No,Travel_Rarely,Sales,2,3,Marketing,1,487,Male,2,Sales Executive,Married,9602,4,Y,11,80,1,17,3,3,1,0
20,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,488,Female,1,Research Scientist,Single,2836,1,Y,13,80,0,1,0,1,0,0
42,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,489,Female,2,Healthcare Representative,Married,4089,1,Y,13,80,2,10,4,10,2,2
43,No,Travel_Rarely,Research & Development,6,4,Other,1,490,Male,4,Research Director,Divorced,16627,4,Y,14,80,1,21,3,1,0,0
38,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,491,Female,1,Research Scientist,Single,2619,3,Y,17,80,0,8,3,0,0,0
43,No,Travel_Frequently,Research & Development,9,5,Medical,1,492,Male,2,Laboratory Technician,Divorced,5679,3,Y,13,80,1,10,3,8,4,7
48,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,493,Female,4,Manager,Married,15402,7,Y,11,80,1,21,3,3,0,2
44,No,Travel_Rarely,Human Resources,1,4,Life Sciences,1,494,Female,2,Human Resources,Single,5985,4,Y,11,80,0,10,1,2,0,2
34,No,Travel_Rarely,Sales,14,3,Technical Degree,1,495,Female,1,Sales Representative,Divorced,2579,1,Y,18,80,2,8,3,8,0,6
27,Yes,Travel_Rarely,Sales,2,1,Marketing,1,496,Male,1,Sales Representative,Divorced,3041,0,Y,11,80,1,5,3,4,0,2
21,No,Travel_Rarely,Sales,22,1,Technical Degree,1,497,Male,1,Sales Representative,Single,3447,1,Y,11,80,0,3,2,3,1,2
44,No,Travel_Rarely,Research & Development,3,4,Other,1,498,Male,5,Manager,Married,19513,4,Y,12,80,1,26,2,2,0,1
22,No,Travel_Rarely,Research & Development,6,1,Medical,1,499,Male,1,Research Scientist,Married,2773,0,Y,20,80,0,3,3,2,2,2
33,No,Travel_Rarely,Sales,8,4,Marketing,1,500,Male,2,Sales Executive,Divorced,7104,0,Y,12,80,0,6,3,5,1,2
32,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,501,Female,2,Research Scientist,Married,6322,1,Y,12,80,1,6,2,6,0,5
30,No,Travel_Frequently,Research & Development,3,3,Medical,1,502,Female,1,Research Scientist,Divorced,2083,1,Y,20,80,1,1,2,1,0,0
53,No,Travel_Rarely,Sales,1,1,Medical,1,503,Female,2,Sales Executive,Single,8381,7,Y,20,80,0,18,2,14,8,10
34,No,Travel_Rarely,Research & Development,1,5,Life Sciences,1,504,Male,1,Research Scientist,Married,2691,1,Y,12,80,1,10,4,10,8,8
45,Yes,Travel_Frequently,Sales,26,4,Life Sciences,1,505,Female,2,Sales Executive,Married,4286,2,Y,14,80,2,5,4,1,0,0
26,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,506,Female,1,Laboratory Technician,Married,2659,1,Y,13,80,1,3,2,3,0,2
37,No,Travel_Rarely,Research & Development,3,3,Other,1,507,Male,3,Manufacturing Director,Married,9434,1,Y,15,80,1,10,2,10,7,8
29,No,Travel_Rarely,Sales,3,2,Medical,1,508,Female,2,Sales Executive,Married,5561,1,Y,14,80,1,6,5,6,1,2
35,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,509,Male,2,Research Scientist,Single,6646,1,Y,13,80,0,17,3,17,11,8
33,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,510,Male,2,Healthcare Representative,Divorced,7725,3,Y,23,80,1,15,2,13,4,7
54,No,Travel_Rarely,Human Resources,19,4,Medical,1,511,Male,3,Human Resources,Married,10725,2,Y,15,80,1,16,1,9,7,1
36,No,Travel_Rarely,Research & Development,9,2,Medical,1,512,Male,2,Manufacturing Director,Divorced,8847,2,Y,11,80,1,13,2,3,0,2
27,No,Travel_Rarely,Research & Development,3,4,Medical,1,513,Male,1,Research Scientist,Single,2045,0,Y,13,80,0,5,0,4,1,1
20,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,514,Male,1,Research Scientist,Single,1009,1,Y,11,80,0,1,5,1,1,1
33,Yes,Travel_Frequently,Research & Development,3,3,Life Sciences,1,515,Male,1,Research Scientist,Single,3348,1,Y,11,80,0,10,3,10,9,7
35,No,Non-Travel,Research & Development,3,3,Life Sciences,1,516,Male,1,Laboratory Technician,Married,1281,1,Y,18,80,2,1,3,1,0,0
23,No,Travel_Rarely,Research & Development,4,3,Medical,1,517,Male,1,Research Scientist,Married,2819,2,Y,16,80,1,5,3,3,0,2
25,No,Travel_Rarely,Sales,8,3,Life Sciences,1,518,Male,2,Sales Executive,Married,4851,0,Y,22,80,1,4,4,3,1,2
38,No,Travel_Rarely,Sales,7,4,Marketing,1,519,Female,2,Sales Executive,Single,4028,0,Y,20,80,0,8,2,7,0,5
29,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,520,Male,1,Research Scientist,Divorced,2720,1,Y,18,80,1,10,5,10,2,8
48,No,Travel_Rarely,Sales,2,1,Marketing,1,521,Male,2,Sales Executive,Married,8120,3,Y,12,80,0,12,3,2,2,2
27,No,Travel_Frequently,Sales,3,1,Medical,1,522,Female,2,Sales Executive,Divorced,4647,1,Y,20,80,2,6,3,6,0,4
37,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,523,Male,1,Research Scientist,Single,4680,3,Y,17,80,0,4,2,1,0,0
50,No,Travel_Rarely,Research & Development,28,1,Medical,1,524,Male,1,Laboratory Technician,Married,3221,1,Y,11,80,3,20,3,20,3,8
34,No,Travel_Rarely,Research & Development,9,3,Medical,1,525,Female,3,Healthcare Representative,Single,8621,1,Y,14,80,0,9,3,8,7,7
24,Yes,Travel_Rarely,Sales,3,2,Life Sciences,1,526,Female,2,Sales Executive,Single,4577,9,Y,14,80,0,4,3,2,2,0
39,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,527,Female,2,Healthcare Representative,Single,4553,1,Y,11,80,0,20,4,20,11,10
32,No,Travel_Rarely,Sales,10,3,Marketing,1,528,Male,2,Sales Executive,Single,5396,1,Y,12,80,0,10,2,10,0,8
50,Yes,Travel_Frequently,Sales,8,2,Technical Degree,1,529,Male,2,Sales Executive,Married,6796,3,Y,14,80,1,18,4,4,1,3
38,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,530,Female,2,Healthcare Representative,Single,7625,0,Y,13,80,0,10,4,9,1,8
27,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,531,Female,3,Manufacturing Director,Married,7412,1,Y,11,80,0,9,3,9,0,7
32,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,532,Female,3,Research Director,Single,11159,3,Y,15,80,0,10,6,7,7,7
47,No,Travel_Rarely,Sales,14,4,Marketing,1,533,Male,2,Sales Executive,Single,4960,2,Y,12,80,0,20,2,7,1,7
40,No,Travel_Frequently,Sales,5,4,Life Sciences,1,534,Male,3,Sales Executive,Married,10475,5,Y,21,80,1,20,2,18,1,12
53,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,535,Male,4,Research Director,Married,14814,3,Y,19,80,0,32,3,5,1,3
41,No,Travel_Rarely,Human Resources,10,4,Human Resources,1,536,Male,5,Manager,Divorced,19141,3,Y,15,80,3,23,2,21,12,6
60,No,Travel_Rarely,Sales,16,4,Marketing,1,537,Male,2,Sales Executive,Single,5405,8,Y,14,80,0,10,1,2,2,2
27,No,Travel_Frequently,Research & Development,10,2,Life Sciences,1,538,Male,3,Manufacturing Director,Divorced,8793,1,Y,21,80,2,9,4,9,1,7
41,No,Travel_Rarely,Human Resources,1,3,Human Resources,1,539,Male,5,Manager,Married,19189,1,Y,12,80,1,22,3,22,2,10
50,No,Travel_Rarely,Sales,8,4,Marketing,1,540,Male,1,Sales Representative,Married,3875,7,Y,15,80,1,4,2,2,2,2
28,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,541,Female,1,Research Scientist,Single,2216,7,Y,13,80,0,10,4,7,3,7
36,No,Non-Travel,Research & Development,8,3,Life Sciences,1,542,Female,3,Research Director,Married,11713,9,Y,14,80,1,10,2,8,0,5
38,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,543,Female,3,Manufacturing Director,Single,7861,4,Y,14,80,0,10,4,1,0,0
44,No,Non-Travel,Research & Development,24,3,Medical,1,544,Male,1,Laboratory Technician,Single,3708,2,Y,14,80,0,9,5,5,1,4
47,No,Travel_Frequently,Sales,3,3,Medical,1,545,Female,4,Sales Executive,Divorced,13770,9,Y,12,80,2,28,2,22,11,13
30,No,Travel_Rarely,Sales,27,5,Marketing,1,546,Male,2,Sales Executive,Divorced,5304,7,Y,23,80,1,10,2,8,7,7
29,No,Travel_Rarely,Sales,10,3,Life Sciences,1,547,Male,1,Sales Representative,Single,2642,1,Y,11,80,0,1,6,1,0,0
42,Yes,Travel_Frequently,Research & Development,19,3,Medical,1,548,Male,1,Research Scientist,Divorced,2759,6,Y,12,80,0,7,2,2,2,2
43,No,Travel_Frequently,Sales,15,3,Life Sciences,1,549,Male,2,Sales Executive,Married,6804,3,Y,18,80,1,7,5,2,2,2
34,No,Travel_Rarely,Research & Development,8,2,Medical,1,550,Female,2,Healthcare Representative,Single,6142,3,Y,11,80,0,10,2,5,4,3
23,No,Travel_Rarely,Research & Development,9,1,Medical,1,551,Male,1,Laboratory Technician,Married,2500,1,Y,14,80,1,5,2,4,0,2
39,No,Travel_Rarely,Human Resources,3,3,Human Resources,1,552,Female,2,Human Resources,Married,6389,9,Y,15,80,1,12,3,8,3,6
56,No,Travel_Rarely,Research & Development,9,3,Medical,1,553,Male,4,Healthcare Representative,Married,11103,7,Y,11,80,0,30,1,10,1,1
40,No,Travel_Rarely,Research & Development,2,1,Medical,1,554,Female,1,Research Scientist,Single,2342,0,Y,20,80,0,5,2,4,2,3
27,No,Travel_Rarely,Research & Development,7,3,Medical,1,555,Female,2,Healthcare Representative,Single,6811,8,Y,19,80,0,9,2,7,0,7
29,No,Travel_Rarely,Sales,10,3,Marketing,1,556,Male,1,Sales Representative,Divorced,2297,1,Y,14,80,2,2,2,2,2,2
53,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,557,Male,2,Laboratory Technician,Single,2450,2,Y,17,80,0,19,4,2,2,2
35,No,Non-Travel,Research & Development,2,4,Life Sciences,1,558,Female,2,Healthcare Representative,Divorced,5093,2,Y,11,80,1,16,2,1,0,0
32,No,Travel_Frequently,Research & Development,24,4,Life Sciences,1,559,Male,2,Laboratory Technician,Married,5309,1,Y,15,80,2,10,2,10,4,7
